,Player,team,G,Points accumulated,FP_avg,mins_avg
0,Stephen Curry,Ballpark Franks,0,41,41.0,36.18333333333333
1,Stephen Curry,Ballpark Franks,1,97,48.5,36.86666666666666
2,Stephen Curry,Ballpark Franks,2,135,45.0,36.33333333333333
3,Stephen Curry,Ballpark Franks,3,161,40.25,35.324999999999996
4,Stephen Curry,Ballpark Franks,4,197,39.4,36.39333333333333
5,Stephen Curry,Ballpark Franks,5,225,37.5,34.85833333333333
6,Stephen Curry,Ballpark Franks,6,249,35.57142857142857,34.93809523809524
7,Stephen Curry,Ballpark Franks,7,272,34.0,34.289583333333326
8,Stephen Curry,Ballpark Franks,8,296,32.888888888888886,33.459259259259255
9,Stephen Curry,Ballpark Franks,9,366,36.6,33.61666666666666
10,Stephen Curry,Ballpark Franks,10,393,35.72727272727273,33.66060606060606
11,Stephen Curry,Ballpark Franks,11,438,36.5,33.706944444444446
12,Stephen Curry,Ballpark Franks,12,472,36.30769230769231,33.86025641025641
13,Stephen Curry,Ballpark Franks,13,524,37.42857142857143,33.53095238095238
14,Stephen Curry,Ballpark Franks,14,570,38.0,33.654444444444444
15,Stephen Curry,Ballpark Franks,15,570,,
16,Stephen Curry,Ballpark Franks,16,582,36.375,33.86770833333333
17,Stephen Curry,Ballpark Franks,17,621,36.529411764705884,33.92941176470588
18,Stephen Curry,Ballpark Franks,18,658,36.55555555555556,34.15925925925926
19,Stephen Curry,Ballpark Franks,19,702,36.94736842105263,34.19210526315789
20,Stephen Curry,Ballpark Franks,20,705,35.25,34.280833333333334
21,Stephen Curry,Ballpark Franks,21,728,34.666666666666664,34.23888888888889
22,Stephen Curry,Ballpark Franks,22,753,34.22727272727273,34.358333333333334
23,Stephen Curry,Ballpark Franks,23,793,34.47826086956522,34.21086956521739
24,Stephen Curry,Ballpark Franks,24,811,33.791666666666664,34.175000000000004
25,Stephen Curry,Ballpark Franks,25,828,33.12,34.257333333333335
26,Stephen Curry,Ballpark Franks,26,854,32.84615384615385,34.29935897435898
27,Stephen Curry,Ballpark Franks,27,873,32.333333333333336,34.31481481481482
28,Stephen Curry,Ballpark Franks,28,899,32.107142857142854,34.34821428571429
29,Stephen Curry,Ballpark Franks,29,899,,
30,Stephen Curry,Ballpark Franks,30,923,31.82758620689655,34.4132183908046
31,Stephen Curry,Ballpark Franks,31,975,32.5,34.510000000000005
